momento de captura,rango de edad,industria,salario anual,compensaciones extra anuales,moneda,otra moneda,pais,estado us,ciudad,experiencia total,experiencia especifica,nivel educativo,genero,etnia
27/04/2021 11:02:09,25-34,Education (Higher Education),55000,0.0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:02:21,25-34,Computing or Tech,54600,4000.0,GBP,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
27/04/2021 11:02:38,25-34,"Accounting, Banking & Finance",34000,,USD,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:02:40,25-34,Nonprofits,62000,3000.0,USD,,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:02:41,25-34,"Accounting, Banking & Finance",60000,7000.0,USD,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:02:45,25-34,Education (Higher Education),62000,,USD,,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
27/04/2021 11:02:50,25-34,Publishing,33000,2000.0,USD,,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:02:59,25-34,Education (Primary/Secondary),50000,,USD,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
27/04/2021 11:03:01,45-54,Computing or Tech,112000,10000.0,USD,,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:03:01,35-44,"Accounting, Banking & Finance",45000,0.0,USD,,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:03:02,25-34,Nonprofits,47500,0.0,USD,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:03:07,35-44,Education (Higher Education),62000,0.0,USD,,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:03:09,35-44,"Accounting, Banking & Finance",100000,0.0,USD,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
27/04/2021 11:03:09,25-34,Law,52000,0.0,USD,,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,,Woman,White
27/04/2021 11:03:10,18-24,Health care,32000,,CAD,,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,White
27/04/2021 11:03:11,35-44,Utilities & Telecommunications,24000,500.0,GBP,,United Kingdom ,,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
27/04/2021 11:03:13,35-44,Business or Consulting,85000,5000.0,USD,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
27/04/2021 11:03:18,45-54,Art & Design,59000,,USD,,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:03:20,35-44,Business or Consulting,98000,1000.0,USD,,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 11:03:23,35-44,Education (Higher Education),54000,,USD,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:03:23,25-34,Health care,74000,0.0,USD,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:03:24,35-44,Nonprofits,50000,,USD,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
27/04/2021 11:03:27,35-44,Nonprofits,63000,,CAD,,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:03:28,35-44,Government and Public Administration,96000,1000.0,USD,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
27/04/2021 11:03:31,25-34,Public Library,44500,0.0,USD,,US,Florida,Bradenton,5-7 years,2 - 4 years,,Woman,White
27/04/2021 11:03:34,35-44,Education (Higher Education),60000,0.0,USD,,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
27/04/2021 11:03:37,25-34,Nonprofits,62000,,USD,,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
27/04/2021 11:03:40,35-44,Law,48000,4000.0,USD,,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 11:03:41,35-44,Government and Public Administration,140000,,USD,,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:03:42,25-34,Engineering or Manufacturing,80000,,USD,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:03:43,25-34,Nonprofits,39000,,USD,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:03:43,35-44,Media & Digital,125000,0.0,USD,,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:03:45,25-34,"Accounting, Banking & Finance",230000,,USD,,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:03:45,35-44,"Accounting, Banking & Finance",110000,15000.0,USD,,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
