industria|industria_es|industria_agrupada
 Buyer|Comprador|
 Veterinary medicine|Medicina veterinaria|
"""Government Relations"" (Lobbying) "|Relaciones Gubernamentales (Cabildeo)|
Academia|Academia|
Academia |Academia|
Academia - STEM|Academia - STEM|
Academia / Research|Academia / Investigación|
Academia--cell and molecular biology|Academia: biología celular y molecular|
Academic Medicine |Medicina Académica|
Academic Press Production|Producción de Prensa Académica|
Academic publishing|Publicaciones académicas|
Academic publishing |Publicaciones académicas|
Academic research|Investigación académica|
Academic research (Psychology)|Investigación académica (Psicología)|
Academic research (social science)|Investigación académica (ciencias sociales)|
Academic science|Ciencia académica|
Academic Science |Ciencia Académica|
Academic Scientific Research|Investigación Científica Académica|
Academic/nonprofit research|Investigación académica/sin fines de lucro|
accessibility|accesibilidad|
Accounting, Banking & Finance|Contabilidad, Banca y Finanzas|
Actuarial|Actuarial|
Administration|Administración|
Administration |Administración|
Administration (food service)|Administración (servicio de alimentos)|
Administration in MLM|Administración en MLM|
Administration, IT|Administración, TI|
Administrative |Administrativo|
Administrative Support|Apoyo Administrativo|
Administrative Work|Trabajo Administrativo|
Adult education|Educación de adultos|
Aerospace|Aeroespacial|
Aerospace |Aeroespacial|
Aerospace & Defense|Aeroespacial y Defensa|
Aerospace and Defense|Aeroespacial y Defensa|
Aerospace and Defense Manufacturing|Fabricación aeroespacial y de defensa|
Aerospace and Defense/Government Contracting|Aeroespacial y Defensa/Contratación Gubernamental|
Aerospace contracting|Contratación aeroespacial|
aerospace data|Datos aeroespaciales|
Aerospace Manufacturing|Fabricación aeroespacial|
Aerospace/aviation|Aeroespacial/aviación|
Aerospace/Aviation |Aeroespacial/Aviación|
Aerospace/Defense|Aeroespacial/Defensa|
Affordable Housing Real Estate Development (nonprofit)|Desarrollo Inmobiliario de Viviendas Asequibles (sin fines de lucro)|
Agriculture or Forestry|Agricultura o silvicultura|
Agriculture/Agriculture Chemical |Agricultura/Agroquímica|
Airline|Línea aérea|
AmeriCorps|AmeriCorps|
Analytical Chemistry|Química analítica|
Analytical lab|Laboratorio analítico|
Analytics|Analítica|
Animal Care|Cuidado de los animales|
Animal Caretaker|Cuidador de animales|
Animal Health|Sanidad animal|
Animal health industry|Industria de la salud animal|
Animal Health Product Manufacturing|Fabricación de productos para la salud animal|
Animal welfare|Bienestar animal|
Animation|Animación|
Apparel|Atavío|
Apparel |Atavío|
apparel design/product development |Diseño de indumentaria/desarrollo de productos|
Apparel manufacture|Fabricación de prendas de vestir|
Archaeologist|Arqueólogo|
Archaeology|Arqueología|
Archaeology / Cultural Resource Management|Arqueología / Gestión de Recursos Culturales|
Archaeology/Cultural Resource Manager|Gerente de Arqueología/Recursos Culturales|
Architect|Arquitecto|
Architect |Arquitecto|
Architectural/Land Planning/Civil Engineering|Arquitectura/Planificación Territorial/Ingeniería Civil|
Architecture|Arquitectura|
Architecture |Arquitectura|
Architecture & Construction|Arquitectura y Construcción|
Architecture / Engineering|Arquitectura / Ingeniería|
Architecture and engineering consulting and design |Consultoría y diseño de arquitectura e ingeniería|
Architecture, Engineering, Construction|Arquitectura, Ingeniería, Construcción|
Architecture/Construction|Arquitectura/Construcción|
Archives|Archivo|
Archives |Archivo|
Archives/Libraries|Archivos/Bibliotecas|
Archives/Library Science|Archivos/Bibliotecología|
Art & Design|Arte & Diseño|
art appraisal|Tasación de obras de arte|
Arts Administration |Administración de las Artes|
Arts, Culture and Heritage|Arte, Cultura y Patrimonio|
Association|Asociación|
association management|Gestión de asociaciones|
Association Management |Gestión de Asociaciones|
Auction House|Casa de subastas|
Auto Mfg.|Auto Mfg.|
auto repair|Reparación de automóviles|
Automotive|Automotor|
Automotive |Automotor|
Automotive finance and insurance|Finanzas y seguros automotrices|
Automotive repair|Reparación de automóviles|
Automotive technician|Técnico automotriz|
Automtive Repair|Reparación automática|
Aviation|Aviación|
awards and engraving|Premios y grabado|
B2B Services |Servicios B2B|
Background Screening|Verificación de antecedentes|
Beauty|Belleza|
Beauty /CPG |Belleza /CPG|
Beauty Manufacturing & Education |Belleza, Manufactura y Educación|
Beauty, Cosmetics, Fragrance|Belleza, Cosméticos, Fragancias|
Beauty/service industry |Industria de la belleza y los servicios|
Beer sales|Venta de cerveza|
Behavior analysis/mental health|Análisis de la conducta/salud mental|
Behavioral Health|Salud conductual|
Benefits Administration|Administración de Beneficios|
Beverage|Bebida|
Beverage & Spirits|Bebidas y licores|
Beverage Distribution|Distribución de bebidas|
Beverage Production|Producción de bebidas|
Big Pharma|Grandes farmacéuticas|
Bio tech|Biotecnología|
Bioinformatics |Bioinformática|
biological research|Investigación Biológica|
Biological Sciences|Ciencias Biológicas|
Biologist|Biólogo|
Biology|Biología|
Biology/Research|Biología/Investigación|
Biomedical Research|Investigación Biomédica|
Biopharma|Biofarmacia|
Biopharmaceuticals|Productos biofarmacéuticos|
Bioscience Company|Empresa de Biociencia|
Biotech|Biotecnología|
Biotech |Biotecnología|
Biotech (R&D) |Biotecnología (I&D)|
Biotech / life sciences |Biotecnología / ciencias de la vida|
Biotech / Pharmaceutical Industry|Industria Biotecnológica / Farmacéutica|
Biotech / Research|Biotecnología / Investigación|
Biotech industry|Industria biotecnológica|
Biotech manufacturing|Fabricación de biotecnología|
Biotech pharmaceuticals|Productos farmacéuticos biotecnológicos|
Biotech R&D|Investigación y desarrollo en biotecnología|
Biotech Research|Investigación en biotecnología|
Biotech research |Investigación en biotecnología|
Biotech/Drug Development|Biotecnología/Desarrollo de Medicamentos|
Biotech/Food Safety|Biotecnología/Seguridad Alimentaria|
Biotech/Pharma|Biotecnología/Farmacéutica|
Biotech/Pharmaceuticals|Biotecnología/Productos farmacéuticos|
Biotech/pharmaceuticals |Biotecnología/farmacéutica|
Biotech/software|Biotecnología/software|
Biotechnology|Biotecnología|
Biotechnology |Biotecnología|
Biotechnology, Research and Development|Biotecnología, Investigación y Desarrollo|
Biotechnology/Life Sciences|Biotecnología/Ciencias de la Vida|
Bitech|Bitech|
Book publishing|Edición de libros|
Brain research |Investigación del cerebro|
Brewing|Cerveza|
Business or Consulting|Negocios o Consultoría|
Business Process Outsourcing|Externalización de Procesos de Negocio|
Business Process Outsourcing |Externalización de Procesos de Negocio|
