"pais"¬"estado us"¬"ciudad"¬"pais_corregido"¬"ciudad_corregido"¬"Clave"
"United States"¬"Massachusetts"¬"Boston"¬"Estados Unidos"¬" Boston"¬"United States|Massachusetts|Boston"
"United Kingdom"¬¬"Cambridge"¬"Reino Unido"¬" Cambridge"¬"United Kingdom||Cambridge"
"US"¬"Tennessee"¬"Chattanooga"¬"Estados Unidos"¬"Chattanooga"¬"US|Tennessee|Chattanooga"
"USA"¬"Wisconsin"¬"Milwaukee"¬"Estados Unidos"¬"Milwaukee"¬"USA|Wisconsin|Milwaukee"
"US"¬"South Carolina"¬"Greenville"¬"Estados Unidos"¬"Greenville"¬"US|South Carolina|Greenville"
"USA"¬"New Hampshire"¬"Hanover"¬"Estados Unidos"¬"Hanover"¬"USA|New Hampshire|Hanover"
"USA"¬"South Carolina"¬"Columbia"¬"Estados Unidos"¬"Columbia"¬"USA|South Carolina|Columbia"
"United States"¬"Arizona"¬"Yuma"¬"Estados Unidos"¬"Yuma"¬"United States|Arizona|Yuma"
"US"¬"Missouri"¬"St. Louis"¬"Estados Unidos"¬"St. Louis"¬"US|Missouri|St. Louis"
"United States"¬"Florida"¬"Palm Coast"¬"Estados Unidos"¬"Palm Coast"¬"United States|Florida|Palm Coast"
"United States"¬¬"Boston, MA"¬"Estados Unidos"¬"Boston"¬"United States||Boston, MA"
"USA"¬"Pennsylvania"¬"Scranton"¬"Estados Unidos"¬"Scranton"¬"USA|Pennsylvania|Scranton"
"United States"¬"Michigan"¬"Detroit"¬"Estados Unidos"¬" Detroit"¬"United States|Michigan|Detroit"
"United States"¬"Minnesota"¬"Saint Paul"¬"Estados Unidos"¬"Saint Paul"¬"United States|Minnesota|Saint Paul"
"Canada"¬¬"Remote"¬"Canadá"¬"No determinada"¬"Canada||Remote"
"United Kingdom "¬¬"Lincoln"¬"Reino Unido"¬"Lincoln"¬"United Kingdom ||Lincoln"
"USA"¬"Illinois"¬"Chicago"¬"Estados Unidos"¬" Chicago"¬"USA|Illinois|Chicago"
"usa"¬"California"¬"Pomona"¬"Estados Unidos"¬"Pomona"¬"usa|California|Pomona"
"USA"¬"Georgia"¬"Atlanta"¬"Estados Unidos"¬" Atlanta"¬"USA|Georgia|Atlanta"
"United States"¬"Florida"¬"Boca Raton"¬"Estados Unidos"¬"Boca Raton"¬"United States|Florida|Boca Raton"
"USA"¬"Pennsylvania"¬"Philadelphia"¬"Estados Unidos"¬" Filadelfia"¬"USA|Pennsylvania|Philadelphia"
"United States"¬¬"Atlanta"¬"Estados Unidos"¬" Atlanta"¬"United States||Atlanta"
"Canada"¬¬"Toronto"¬"Canadá"¬" Toronto"¬"Canada||Toronto"
"United States"¬"Ohio"¬"Dayton"¬"Estados Unidos"¬"Dayton"¬"United States|Ohio|Dayton"
"US"¬"Florida"¬"Bradenton"¬"Estados Unidos"¬"Bradenton"¬"US|Florida|Bradenton"
"USA"¬"Michigan"¬"Ann Arbor"¬"Estados Unidos"¬"Ann Arbor"¬"USA|Michigan|Ann Arbor"
"US"¬"District of Columbia"¬"Washington DC"¬"Estados Unidos"¬" Washington D.C."¬"US|District of Columbia|Washington DC"
"USA"¬"Maryland"¬"Silver Spring"¬"Estados Unidos"¬"Silver Spring"¬"USA|Maryland|Silver Spring"
"USA"¬"District of Columbia"¬"Washington"¬"Estados Unidos"¬" Washington D.C."¬"USA|District of Columbia|Washington"
"United States"¬"Texas"¬"San Antonio"¬"Estados Unidos"¬" San Antonio"¬"United States|Texas|San Antonio"
"United States"¬"Minnesota"¬"Minneapolis"¬"Estados Unidos"¬" Minneapolis"¬"United States|Minnesota|Minneapolis"
"USA"¬"District of Columbia"¬"Washington, DC"¬"Estados Unidos"¬" Washington D.C."¬"USA|District of Columbia|Washington, DC"
"USA"¬"Missouri"¬"St. Louis"¬"Estados Unidos"¬"St. Louis"¬"USA|Missouri|St. Louis"
"US"¬"Virginia"¬"Richmond"¬"Estados Unidos"¬"Richmond"¬"US|Virginia|Richmond"
"United States"¬"District of Columbia"¬"Washington"¬"Estados Unidos"¬" Washington D.C."¬"United States|District of Columbia|Washington"
"USA"¬"North Carolina"¬"Research Triangle"¬"Estados Unidos"¬"Research Triangle"¬"USA|North Carolina|Research Triangle"
"United States"¬"Michigan"¬"Kalamazoo"¬"Estados Unidos"¬"Kalamazoo"¬"United States|Michigan|Kalamazoo"
"United States"¬"New York"¬"Manhattan"¬"Estados Unidos"¬"Manhattan"¬"United States|New York|Manhattan"
"USA"¬"California"¬"Sacramento"¬"Estados Unidos"¬"Sacramento"¬"USA|California|Sacramento"
"USA"¬"Texas"¬"Dallas"¬"Estados Unidos"¬" Dallas"¬"USA|Texas|Dallas"
"USA"¬"Georgia"¬"waynesboro"¬"Estados Unidos"¬"Waynesboro"¬"USA|Georgia|waynesboro"
"UK"¬¬"Liverpool"¬"Reino Unido"¬" Liverpool"¬"UK||Liverpool"
"USA"¬"Virginia"¬"Richmond"¬"Estados Unidos"¬"Richmond"¬"USA|Virginia|Richmond"
"United States"¬"Pennsylvania"¬"Pittsburgh"¬"Estados Unidos"¬" Pittsburgh"¬"United States|Pennsylvania|Pittsburgh"
"USA"¬"Virginia"¬"Arlington, VA"¬"Estados Unidos"¬"Arlington"¬"USA|Virginia|Arlington, VA"
"US"¬"Massachusetts"¬"Boston"¬"Estados Unidos"¬" Boston"¬"US|Massachusetts|Boston"
"USA"¬"Massachusetts"¬"Boston"¬"Estados Unidos"¬" Boston"¬"USA|Massachusetts|Boston"
"USA"¬"North Carolina"¬"Chapel Hill"¬"Estados Unidos"¬"Chapel Hill"¬"USA|North Carolina|Chapel Hill"
"Canada"¬¬"Vancouver"¬"Canadá"¬" Vancouver"¬"Canada||Vancouver"
"United States"¬"California"¬"Berkeley"¬"Estados Unidos"¬"Berkeley"¬"United States|California|Berkeley"
"United States"¬"Minnesota"¬"Apple Valley"¬"Estados Unidos"¬"Apple Valley"¬"United States|Minnesota|Apple Valley"
"United States"¬"Illinois"¬"Chicago"¬"Estados Unidos"¬" Chicago"¬"United States|Illinois|Chicago"
"United States"¬"Michigan"¬"Troy"¬"Estados Unidos"¬"Troy"¬"United States|Michigan|Troy"
"United States"¬"District of Columbia"¬"DC"¬"Estados Unidos"¬"Washington D.C."¬"United States|District of Columbia|DC"
"US"¬"District of Columbia"¬"Washington"¬"Estados Unidos"¬" Washington D.C."¬"US|District of Columbia|Washington"
"US"¬"New Jersey"¬"Linden"¬"Estados Unidos"¬"Linden"¬"US|New Jersey|Linden"
"United Kingdom"¬¬"Bristol"¬"Reino Unido"¬" Bristol"¬"United Kingdom||Bristol"
"United States"¬"Illinois"¬"Champaign"¬"Estados Unidos"¬"Champaign"¬"United States|Illinois|Champaign"
"Canada"¬¬"Nova Scotia"¬"Canadá"¬"Nueva Escocia"¬"Canada||Nova Scotia"
"Canada"¬¬"Ottawa"¬"Canadá"¬"Ottawa"¬"Canada||Ottawa"
"United States"¬"Texas"¬"Bryan"¬"Estados Unidos"¬"Bryan"¬"United States|Texas|Bryan"
"USA"¬"Rhode Island"¬"Providence"¬"Estados Unidos"¬"Providence"¬"USA|Rhode Island|Providence"
"United States"¬"District of Columbia"¬"District of Columbia"¬"Estados Unidos"¬"District of Columbia"¬"United States|District of Columbia|District of Columbia"
"United States"¬"Illinois"¬"Bloomington"¬"Estados Unidos"¬"Bloomington"¬"United States|Illinois|Bloomington"
"US"¬"Colorado"¬"Denver"¬"Estados Unidos"¬" Denver"¬"US|Colorado|Denver"
"United States"¬"New York"¬"New York City"¬"Estados Unidos"¬" Nueva York"¬"United States|New York|New York City"
"United States"¬¬"Colorado Springs"¬"Estados Unidos"¬"Colorado Springs"¬"United States||Colorado Springs"
"UK"¬¬"Southampton"¬"Reino Unido"¬"Southampton"¬"UK||Southampton"
"United States"¬"South Carolina"¬"Columbia"¬"Estados Unidos"¬"Columbia"¬"United States|South Carolina|Columbia"
"USA"¬"Maryland"¬"prefer not to answer"¬"Estados Unidos"¬"No determinada"¬"USA|Maryland|prefer not to answer"
"US"¬"New York"¬"NYC (remotely)"¬"Estados Unidos"¬"Nueva York"¬"US|New York|NYC (remotely)"
"USA"¬"Illinois"¬"Champaign"¬"Estados Unidos"¬"Champaign"¬"USA|Illinois|Champaign"
"United States"¬"Georgia"¬"Atlanta"¬"Estados Unidos"¬" Atlanta"¬"United States|Georgia|Atlanta"
"USA"¬"North Carolina"¬"Raleigh"¬"Estados Unidos"¬"Raleigh"¬"USA|North Carolina|Raleigh"
"US"¬"New York"¬"New York"¬"Estados Unidos"¬" Nueva York"¬"US|New York|New York"
"United States"¬"Pennsylvania"¬"-----"¬"Estados Unidos"¬"No determinada"¬"United States|Pennsylvania|-----"
"Scotland "¬¬"Edinburgh"¬"Reino Unido"¬" Edimburgo"¬"Scotland ||Edinburgh"
"U.S."¬"Minnesota"¬"St. Paul"¬"Estados Unidos"¬"St. Paul"¬"U.S.|Minnesota|St. Paul"
"United States "¬"Pennsylvania"¬"Philadelphia (suburbs)"¬"Estados Unidos"¬"Philadelphia"¬"United States |Pennsylvania|Philadelphia (suburbs)"
"Canada"¬¬"Kitchener, Ontario"¬"Canadá"¬"Kitchener"¬"Canada||Kitchener, Ontario"
"United States"¬"Pennsylvania"¬"Philadelphia"¬"Estados Unidos"¬" Filadelfia"¬"United States|Pennsylvania|Philadelphia"
"United States "¬"Oregon"¬"Portland "¬"Estados Unidos"¬" Portland"¬"United States |Oregon|Portland "
"United States "¬"District of Columbia"¬"Washington"¬"Estados Unidos"¬" Washington D.C."¬"United States |District of Columbia|Washington"
"US"¬"Tennessee"¬"Nashville"¬"Estados Unidos"¬"Nashville"¬"US|Tennessee|Nashville"
"United Kingdom"¬¬"Newcastle, UK"¬"Reino Unido"¬"Newcastle"¬"United Kingdom||Newcastle, UK"
"US"¬"Washington"¬"Seattle"¬"Estados Unidos"¬" Seattle"¬"US|Washington|Seattle"
"United States"¬"Indiana"¬"Indianapolis"¬"Estados Unidos"¬"Indianapolis"¬"United States|Indiana|Indianapolis"
"United States"¬"Tennessee"¬"Nashville"¬"Estados Unidos"¬"Nashville"¬"United States|Tennessee|Nashville"
"USA"¬"Maryland"¬"Baltimore"¬"Estados Unidos"¬" Baltimore"¬"USA|Maryland|Baltimore"
"USA"¬"Ohio"¬"Solon"¬"Estados Unidos"¬"Solon"¬"USA|Ohio|Solon"
"Canada"¬¬"Montreal"¬"Canadá"¬" Montreal"¬"Canada||Montreal"
"United States"¬"Florida"¬"Gainesville"¬"Estados Unidos"¬"Gainesville"¬"United States|Florida|Gainesville"
"United States"¬"North Carolina"¬"Troy"¬"Estados Unidos"¬"Troy"¬"United States|North Carolina|Troy"
"United States"¬"Indiana"¬"Lafayette"¬"Estados Unidos"¬"Lafayette"¬"United States|Indiana|Lafayette"
"United States"¬"New York"¬"New York"¬"Estados Unidos"¬" Nueva York"¬"United States|New York|New York"
"USA"¬"Arizona"¬"Phoenix"¬"Estados Unidos"¬" Phoenix"¬"USA|Arizona|Phoenix"
"USA"¬"Colorado"¬"Boulder"¬"Estados Unidos"¬"Boulder"¬"USA|Colorado|Boulder"
"US"¬"Texas"¬"Austin"¬"Estados Unidos"¬" Austin"¬"US|Texas|Austin"
"Canada"¬¬"Halifax"¬"Canadá"¬"Halifax"¬"Canada||Halifax"
"USA"¬"Michigan"¬"Detroit"¬"Estados Unidos"¬" Detroit"¬"USA|Michigan|Detroit"
"USA"¬"New Hampshire"¬"Portsmouth"¬"Estados Unidos"¬"Portsmouth"¬"USA|New Hampshire|Portsmouth"
"USA"¬"New York"¬"New York"¬"Estados Unidos"¬" Nueva York"¬"USA|New York|New York"
"United Kingdom"¬¬"Nottingham"¬"Reino Unido"¬"Nottingham"¬"United Kingdom||Nottingham"
"USA"¬"California"¬"Prefer not to answer"¬"Estados Unidos"¬"No determinada"¬"USA|California|Prefer not to answer"
"UK"¬¬"Glasgow"¬"Reino Unido"¬" Glasgow"¬"UK||Glasgow"
"The Netherlands"¬¬"The hague"¬"Países Bajos"¬"The hague"¬"The Netherlands||The hague"
"Canada"¬¬"Calgary"¬"Canadá"¬" Calgary"¬"Canada||Calgary"
"United States"¬"Missouri"¬"Kansas City"¬"Estados Unidos"¬" Kansas City"¬"United States|Missouri|Kansas City"
"United States"¬"Pennsylvania"¬"Scranton"¬"Estados Unidos"¬"Scranton"¬"United States|Pennsylvania|Scranton"
"US"¬"Iowa"¬"Dubuque"¬"Estados Unidos"¬"Dubuque"¬"US|Iowa|Dubuque"
"Canada"¬¬"London, ON CAN"¬"Canadá"¬"Londres"¬"Canada||London, ON CAN"
"United Kingdom"¬¬"Cardiff"¬"Reino Unido"¬" Cardiff"¬"United Kingdom||Cardiff"
"USA"¬"California"¬"San Diego"¬"Estados Unidos"¬" San Diego"¬"USA|California|San Diego"
"USA"¬"Massachusetts"¬"Belmont"¬"Estados Unidos"¬"Belmont"¬"USA|Massachusetts|Belmont"
"USA"¬"New York"¬"New York City"¬"Estados Unidos"¬" Nueva York"¬"USA|New York|New York City"
"United States"¬"Massachusetts"¬"Cambridge"¬"Estados Unidos"¬" Cambridge"¬"United States|Massachusetts|Cambridge"
"United States"¬¬"Philadelphia "¬"Estados Unidos"¬" Filadelfia"¬"United States||Philadelphia "
"United States"¬¬"Indianapolis"¬"Estados Unidos"¬"Indianapolis"¬"United States||Indianapolis"
"United States"¬"New Jersey"¬"Whippany"¬"Estados Unidos"¬"Whippany"¬"United States|New Jersey|Whippany"
"USA"¬"Wisconsin"¬"Jefferson"¬"Estados Unidos"¬"Jefferson"¬"USA|Wisconsin|Jefferson"
"USA"¬"Virginia"¬"Manassas"¬"Estados Unidos"¬"Manassas"¬"USA|Virginia|Manassas"
"United States"¬"Michigan"¬"Detroit Metro area"¬"Estados Unidos"¬"Detroit"¬"United States|Michigan|Detroit Metro area"
"Australia "¬¬"Perth"¬"Australia"¬" Perth"¬"Australia ||Perth"
"United States"¬"Pennsylvania"¬"Newtown Square"¬"Estados Unidos"¬"Newtown Square"¬"United States|Pennsylvania|Newtown Square"
"United States"¬"Florida"¬"Small city, remote, national company"¬"Estados Unidos"¬"No determinada"¬"United States|Florida|Small city, remote, national company"
"USA"¬"Tennessee"¬"Memphis"¬"Estados Unidos"¬"Memphis"¬"USA|Tennessee|Memphis"
"United States"¬"Texas"¬"Dallas"¬"Estados Unidos"¬" Dallas"¬"United States|Texas|Dallas"
"United States"¬"Michigan"¬"Grand Rapids"¬"Estados Unidos"¬"Grand Rapids"¬"United States|Michigan|Grand Rapids"
"United Kingdom"¬¬"London"¬"Reino Unido"¬" Londres"¬"United Kingdom||London"
"Spain"¬¬"N/A"¬"España"¬"No determinada"¬"Spain||N/A"
"United States"¬¬"New York "¬"Estados Unidos"¬" Nueva York"¬"United States||New York "
"UK"¬¬"Cambridge"¬"Reino Unido"¬" Cambridge"¬"UK||Cambridge"
"USA"¬"Nebraska"¬"Omaha"¬"Estados Unidos"¬"Omaha"¬"USA|Nebraska|Omaha"
"US"¬"Massachusetts"¬"Cambridge"¬"Estados Unidos"¬" Cambridge"¬"US|Massachusetts|Cambridge"
"UK"¬¬"London"¬"Reino Unido"¬" Londres"¬"UK||London"
"Usa"¬"Georgia"¬"Gainesville"¬"Estados Unidos"¬"Gainesville"¬"Usa|Georgia|Gainesville"
"England"¬¬"Oxford"¬"Reino Unido"¬"Oxford"¬"England||Oxford"
"United States"¬"District of Columbia"¬"Washington DC"¬"Estados Unidos"¬" Washington D.C."¬"United States|District of Columbia|Washington DC"
"US"¬"Texas"¬"San Antonio"¬"Estados Unidos"¬" San Antonio"¬"US|Texas|San Antonio"
"United States"¬"Virginia"¬"McLean"¬"Estados Unidos"¬"McLean"¬"United States|Virginia|McLean"
"United States"¬"Oklahoma"¬"Ardmore"¬"Estados Unidos"¬"Ardmore"¬"United States|Oklahoma|Ardmore"
